,User,Text,Date,Favorites,Retweets,Mentions,Hashtags
84,andyasper,"Okazuje się że nasza służba zdrowia jest świetnie przygotowana do walki z #koronawirusem Nie wiadomo jednak jak bardzo #koronawirus jest przygotowany do walki z polską służbą zdrowia Minister #Szumowski radzi myć ręce w rytm piosenki ""Wlazł kotek"". Żebyśmy się nie zaśpiewali...",2020-01-30 21:18:19+00:00,0,6,,#koronawirusem #koronawirus #Szumowski
85,NinaT3333,"Wyobraźmy sobie taką sytuację, że to nie w Chinach, lecz w Polsce zostaje wyhodowany Koronawirus...??? Jedno jest pewne. Ci spod znaku BHO nie musieliby krzyczeć ""Polska dla Polaków, zamknąć granice, Polska samowystarczalna..."" ",2020-01-30 21:17:51+00:00,0,1,,
86,jacky6dg,Koronawirus z Państwa Środka Strachy na Lachy czy ... ? Bo już ponoć krąży poradnik na zmniejszenie przed sobą kolejki w Biedrze. Wystarczy podjąć rozmowę telefoniczną na komórce i odpowiedzieć - Nie oddzwaniałem bo dopiero co wróciłem z Szanghaju ...,2020-01-30 21:17:19+00:00,0,0,,
87,awersya,"boli mnie brzuch, boli mnie gardło, przed chwilą w chuj zakuło mnie serce, czy to już koronawirus?",2020-01-30 21:16:49+00:00,0,0,,
88,rdcpolskieradio,W związku z koronawirusem największe biura podróży w kraju odwołują wyjazdy zorganizowane do Chin. Klienci sami mogą zmienić cel podróży lub zrezygnować i otrzymać zwrot kosztów Czytaj więcej: https://www.rdc.pl/informacje/biura-odwoluja-wycieczki-do-chin-klienci-otrzymaja-zwrot-kosztow-posluchaj/ #koronawirus #urlop #Chiny,2020-01-30 21:16:35+00:00,0,0,,#koronawirus #urlop #Chiny
89,modliszka30,Koronawirus z Chin. WHO ogłosiło międzynarodowy alert. ,2020-01-30 21:14:06+00:00,16,26,,
90,chuneko_,koronawirus XDD,2020-01-30 21:13:13+00:00,0,0,,
91,krzysztowawruch,Koronawirus. Światowa Organizacja Zdrowia ogłasza stan zagrożenia zdrowia publicznego ,2020-01-30 21:11:40+00:00,2,0,,
92,TygodnikWPROST,Koronawirus może przebiegać bezobjawowo? Nietypowy przypadek 10-latka ,2020-01-30 21:09:31+00:00,2,1,,
93,AnnaSz82,"Za 3, 5 roku to nas #koronavirus wytłucze.",2020-01-30 21:08:48+00:00,0,0,,#koronavirus
94,BarbaraBurdzy,"Maziu, nie tak do końca szkoda, ponieważ ta choroba rozprzestrzenia się jak koronawirus i to zaszkodzi Tobie, mnie i jeszcze wielu naszym kolegom z branży.",2020-01-30 21:02:37+00:00,0,2,,
95,PrzemekWos74,Koronawirus na Podlasiu nie ma szans😎😈 #Polska,2020-01-30 21:01:22+00:00,1,9,,#Polska
96,symciu1,Koronawirus z Chin. WHO ogłasza światowe zagrożenie - WP Wiadomości ,2020-01-30 21:00:30+00:00,0,0,,
97,adinfo24,"#świat W Paryżu Odmówili Leczenia Chińczykowi Z Koronawirusem Koronawirus z Wuhan ... http://adinfo24.pl/swiat/1654069,w_paryzu_odmowili_leczenia_chinczykowi_z_koronawirusem.html",2020-01-30 21:00:06+00:00,1,1,,
98,compi1234,"Na lotnisku Chopina dalej są tylko ""czujni""? Koronawirus. Światowa Organizacja Zdrowia ogłasza stan zagrożenia zdrowia publicznego ",2020-01-30 20:59:49+00:00,0,0,,
99,FAKT24PL,#PILNE| #WHO ogłasza stan wyjątkowy w sprawie #koronawirus! ,2020-01-30 20:59:12+00:00,0,2,,#PILNE #WHO #koronawirus
100,Kinga21624143,"Wszyscy przed 2020 ""Tak 2020 to będzie wspaniały rok. Nowe dziesięciolecie , idealny czas na zmianę itp."" Tymczasem 2020: - Australia płonie - zapowiadnie III wojny światowej - koronawirus - tragiczna śmierć Kobe'go Bryanta i Gigi - ksenofobiai i rasizm w DDTVN",2020-01-30 20:59:07+00:00,0,0,,
101,Mongolskabajka,"Spokojnie, koronawirus nie jest tak niebezpieczny, jak kreują go media. Nie jest tak zaraźliwy, plus dla osób, które maja odporność w normie nie jest śmiertelny, więc luz i chillout.",2020-01-30 20:58:45+00:00,0,2,,
102,Carnifici,"Czy to trąby jerychońskie zwiastują dzień końca świata? Czy to koronawirus w końcu osiągnął swoje? Czy to Trump w końcu wystrzelił swoje atomówki!? Nie! To w końcu trzeci tom LN Toradora ujrzy światło dzienne! Hip, hip, hurra! ",2020-01-30 20:57:23+00:00,0,0,,
103,Ja_to_,". Światowa Organizacja Zdrowia ogłasza ""stan wyjątkowy"". Chodzi o koronawirus z Chin https://niezalezna.pl/308579-swiatowa-organizacja-zdrowia-oglasza-stan-wyjatkowy-chodzi-o-koronawirus-z-chin",2020-01-30 20:57:00+00:00,1,2,,
104,EurowPolsce,WHO ogłosiła międzynarodowy stan zagrożenia zdrowia publicznego w zw. z #koronawirus.em https://wiadomosci.onet.pl/swiat/koronawirus-who-oglosila-miedzynarodowy-stan-zagrozenia-zdrowia-publicznego/73l8g26 przez @OnetWiadomosci,2020-01-30 20:56:17+00:00,3,3,@OnetWiadomosci,#koronawirus
105,francuzlena,ja i micha widząc kogoś w masce my: koronawirus,2020-01-30 20:56:17+00:00,0,0,,
106,romekcz,"W UE są tylko 2 ośrodki badające koronawirus . Rotterdam i Berlin . Cieszmy się , że my wciąż w UE bo nie trzeba do Moskwy wysyłać .",2020-01-30 20:55:20+00:00,1,6,,
107,Justyna_JM,"#koronawirus W 18 krajach (poza Chinami) stwierdzono już 98 przypadków. Światowa Organizacja Zdrowia ogłasza stan globalnego zagrożenia zdrowia publicznego ⚠️ Częste mycie skraca życie ? No jednak nie. Mydło wszystko myje, nie tylko uszy i szyję, wirusa też. 3majcie się czysto.",2020-01-30 20:53:43+00:00,0,3,,#koronawirus
108,harrymarry551,czy ktoś jest na rozszerzonej historii? #matura2020 #tweetme #helpme #koronavirus #RT,2020-01-30 20:53:30+00:00,0,2,,#matura2020 #tweetme #helpme #koronavirus #RT
109,Aleks5883,Koronawirus. Światowa Organizacja Zdrowia ogłasza stan zagrożenia zdrowia publicznego ,2020-01-30 20:53:28+00:00,0,0,,
110,pattrahull,Fajne informowanie ludzi na temat wirusu gdzie ludzie zapraszają z kont utworzonych koronawirus na fb i się z tego śmieją no zajebiste informowanie o wirusie 😂,2020-01-30 20:52:33+00:00,0,0,,
